Health Region,Agriculture...Forestry.NH3,Agriculture...Forestry.PM10.FIL,Agriculture...Forestry.PM10.PRI,Bulk.Terminals...Plants.NH3,Bulk.Terminals...Plants.PM25.PRI,Bulk.Terminals...Plants.PM.PRI,Coal.PM25.PRI,Coal.PM.CON,Coal.PM.PRI,Coal.SO2,Coal.VOC,Commercial.Institutional.Coal.CO,Commercial.Institutional.Coal.NH3,Commercial.Institutional.Coal.NOX,Commercial.Institutional.Coal.PM10.FIL,Commercial.Institutional.Coal.PM10.PRI,Commercial.Institutional.Coal.PM25.FIL,Commercial.Institutional.Coal.PM25.PRI,Commercial.Institutional.Coal.SO2,Commercial.Institutional.Coal.VOC,Commercial.Institutional.Gas.CO,Commercial.Institutional.Gas.NH3,Commercial.Institutional.Gas.NOX
126,247.8918152,702.8751413,702.8751413,24.86832443,0.047123535,12.45774544,0.588782662,0.571582233,0.0072123,2.386254723,0.089607165,0.164535751,0.033814204,0.108444632,0.031348574,14.42,0.056688587,2.815047985,5.86,5.86,5.86,71.77496674,146.7040088
127,323.4116549,2609.886909,2609.886909,11.55997237,0.038155672,8.118371463,0.438926053,0.059201338,0.008673584,0.476376575,0.105187184,0.137468225,0.040703476,0.072735527,0.029910656,14.42,0.019064618,2.735893615,5.86,5.86,5.86,33.94738861,149.009425
128,3.995368202,0.596107009,0.596107009,0.31203391,0.193521031,0.360039128,1,3.208840787,38,217.4712976,232.1919577,1.718461839,685.5393176,23.20440161,19.96168425,18.29397076,44.220428,31,63.5,55.5,23.5,42.25946294,17.0952381
129,123.9066215,18.57876464,18.57876464,0.116556075,0.072287181,0.134487778,1,3,38,21.8808787,354.4818808,3.304812442,1337.313385,46.83434396,40.25121196,36.5060767,69.8238307,31,64.54253459,33.79917542,25.76406297,67.77199021,20.57487194
130,382.5297356,57.37641553,57.37641553,0.766010967,0.104920825,0.664575324,1,2.877008465,38,169.6196144,187.1136168,1.423361659,532.5987202,19.02608999,16.38478926,15.03251776,36.22756992,31,92.64801731,66.89414296,26.29252626,46.54870409,18.88629708
131,530.7564587,79.60829797,79.60829797,1.054395811,0.161076345,35.79703095,1,2.791730913,38,53.59164991,243.3180112,1.927043291,764.605488,26.38850836,22.69877761,20.73131616,46.88484786,105.6437479,63.5,55.5,23.5,42.25946294,17.0952381
132,1493.279979,223.9866172,223.9866172,0.076428042,0.047400084,0.088186202,1.229871113,3,38,24.94390572,230.7322468,2.022249583,807.6834207,28.33194317,24.36101265,22.1383127,45.12012147,31,63.5,55.5,23.5,42.25946294,17.0952381
133,496.49899,74.46763508,74.46763508,2.200677284,0.224036676,0.092819959,1,3,38,21.49561653,210.346866,1.869395324,745.2612913,26.17405728,22.50131007,20.46217999,41.19961547,31,63.5,55.5,20.58086894,36.66197897,14.47986142
134,789.6930733,118.4494639,118.4494639,0.246682024,0.048198302,0.156456808,1,3,38,9.413993029,163.6555231,1.485918506,589.5099098,20.88221694,17.95373686,16.30966523,32.17598598,31,63.5,55.5,23.5,42.25946294,17.0952381
135,250.1229434,37.51313043,37.51313043,0.093666859,0.058091466,0.108077146,1,3,38,23.98548144,261.4521292,2.38740004,993.0081045,33.97647798,29.18739772,26.4670887,50.81775966,31,63.5,55.5,23.5,42.25946294,17.0952381
136,1280.480963,192.067493,192.067493,0.042361369,0.026272196,0.048878503,1,3,38,7.849149771,122.6826983,1.131132845,460.7517644,16.05230596,13.79384424,12.51173466,24.00281164,31,63.5,55.5,23.5,42.25946294,17.0952381
137,1107.407149,144.8759475,144.8759475,5.945919113,184.1029907,0.210239895,350.27,0.45,29.30922688,0.16177542,36.12526328,0.337848116,0.751247989,0.228596887,0.643607475,0.377680653,0.203816513,1.936486753,0.104430935,1.435882638,0.070050855,0.554404538,0.027727053
138,684.3135334,83.43088507,83.43088507,13.74567416,2100.443283,8.536579682,350.27,0.45,32.14464747,0.182358907,39.35971995,0.280796506,0.789190881,0.157464587,0.66680382,0.418653441,0.283255833,2.132625607,0.121629356,6.190368997,0.054299728,0.533702264,0.024405956
139,1383.304923,176.7968871,176.7968871,136.697906,6377.507519,11.5818093,350.27,0.45,432.3719939,1.7991756,418.3210046,5.319293343,19.69983174,4.293829585,18.24132435,10.9105526,3.730381325,21.84819872,1.181612719,50.67919742,0.957409781,7.290139756,0.371478278
140,478.4397548,53.38691205,53.38691205,8.071815032,249.8309886,0.283735208,350.27,0.45,18.85387918,0.082347105,22.61691138,0.176349843,1.188857258,0.120546052,1.13112623,0.20719947,1.874832702,1.338976149,0.060401665,0.709607388,0.019514894,0.191707542,0.010539534
